[0, 69]
[1, 4]
[2, 14]
[3, 37]
[4, 18]
[5, 20]
[6, 44]
[7, 7]
[8, 39]
[9, 51]
[10, 67]
[11, 25]
[12, 46]
[13, 56]
[14, 39]
[15, 49]
[16, 52]
[17, 57]
[18, 42]
[19, 52]
[20, 68]
[21, 62]
[22, 32]
[23, 42]
[24, 41]
[25, 47]
[26, 37]
[27, 42]
[28, 66]
[29, 69]
[30, 51]
[31, 35]
[32, 54]
[33, 64]
[34, 69]
[35, 68]
[36, 42]
[37, 47]
[38, 56]
[39, 59]
[40, 68]
[41, 59]
[42, 42]
[43, 45]
[44, 47]
[45, 49]
[46, 50]
[47, 51]
[48, 52]
[49, 54]
[50, 55]
[51, 58]
[52, 61]
[53, 65]
[54, 67]
[55, 68]
[56, 58]
[57, 63]
[58, 66]
[59, 68]
[60, 60]
[61, 62]
[62, 65]
[63, 65]
[64, 64]
[65, 65]
[66, 66]
[67, 67]
[68, 68]
[69, 69]
